EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
813398216,F,3,1,2462,23,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2403,19,2,Below Standard,At/Near Standard,At/Near Standard
888642884,M,3,1,2299,26,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2405,17,2,At/Near Standard,At/Near Standard,Below Standard
784282535,M,3,1,2402,23,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2426,16,2,Below Standard,At/Near Standard,At/Near Standard
233342535,M,3,1,2480,22,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2434,16,2,At/Near Standard,At/Near Standard,At/Near Standard
855256252,M,3,1,2396,23,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2447,17,3,At/Near Standard,Above Standard,At/Near Standard
851313675,F,3,1,2409,24,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2425,18,2,At/Near Standard,At/Near Standard,At/Near Standard
855616647,F,3,1,2525,22,4,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2473,15,3,Above Standard,Above Standard,At/Near Standard
815788639,F,3,1,2484,23,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2438,17,3,At/Near Standard,At/Near Standard,At/Near Standard
487413274,F,3,1,2290,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2279,29,1,Below Standard,Below Standard,Below Standard
324755372,M,3,1,2390,23,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2476,16,3,Above Standard,At/Near Standard,At/Near Standard
837342628,F,3,1,2465,23,3,At/Near Standard,Above Standard,At/Near Standard,Above Standard,1,2428,17,2,At/Near Standard,At/Near Standard,At/Near Standard
816956715,F,3,1,2394,24,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2438,17,3,At/Near Standard,At/Near Standard,At/Near Standard
271975524,M,3,1,2493,22,4,Above Standard,Above Standard,At/Near Standard,Above Standard,1,2492,16,3,At/Near Standard,Above Standard,Above Standard
887343267,F,3,1,2472,21,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2454,20,3,At/Near Standard,At/Near Standard,At/Near Standard
942445373,F,3,1,2359,23,1,At/Near Standard,Below Standard,Below Standard,Below Standard,1,2382,21,2,Below Standard,At/Near Standard,Below Standard
864334467,F,3,1,2448,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2460,16,3,Above Standard,At/Near Standard,At/Near Standard
858884231,F,3,1,2444,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2400,18,2,At/Near Standard,Below Standard,Below Standard
831378483,M,3,1,2335,22,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2488,16,3,Above Standard,Above Standard,Above Standard
831639869,M,3,1,2341,25,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2368,19,1,At/Near Standard,Below Standard,Below Standard
854493272,M,3,1,2392,22,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2406,18,2,At/Near Standard,At/Near Standard,At/Near Standard
844652653,M,3,1,2352,24,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2398,19,2,At/Near Standard,At/Near Standard,At/Near Standard
825763967,F,3,1,2415,21,2,Above Standard,Below Standard,At/Near Standard,At/Near Standard,1,2486,16,3,Above Standard,At/Near Standard,At/Near Standard
891425658,M,3,1,2541,25,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2543,18,4,Above Standard,At/Near Standard,Above Standard
645682633,F,3,1,2368,23,2,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2418,17,2,At/Near Standard,At/Near Standard,At/Near Standard
138496477,M,3,1,2394,26,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2396,17,2,At/Near Standard,Below Standard,At/Near Standard
356965258,F,3,1,2414,25,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2427,18,2,At/Near Standard,At/Near Standard,At/Near Standard
879852856,M,3,1,2326,25,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2393,19,2,Below Standard,At/Near Standard,At/Near Standard
865843256,F,3,1,2522,21,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2483,16,3,Above Standard,Above Standard,At/Near Standard
975628324,F,3,1,2460,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2388,19,2,Below Standard,At/Near Standard,At/Near Standard
842375843,F,3,1,2519,23,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2501,15,4,Above Standard,Above Standard,Above Standard
817349734,F,3,1,2429,24,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2411,18,2,At/Near Standard,At/Near Standard,At/Near Standard
638567541,F,3,1,2430,21,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2457,17,3,At/Near Standard,At/Near Standard,At/Near Standard
643465345,M,3,1,2369,23,2,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2374,22,1,Below Standard,At/Near Standard,At/Near Standard
699436365,F,3,1,2462,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2470,17,3,Above Standard,At/Near Standard,Above Standard
481196958,M,3,1,2337,25,1,At/Near Standard,Below Standard,Below Standard,Below Standard,1,2449,17,3,At/Near Standard,At/Near Standard,At/Near Standard
476748631,F,3,1,2397,23,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2362,21,1,Below Standard,At/Near Standard,Below Standard
462428483,M,3,1,2407,23,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2432,18,2,At/Near Standard,At/Near Standard,At/Near Standard
443943474,F,3,1,2481,24,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2430,17,2,At/Near Standard,At/Near Standard,At/Near Standard
346945768,M,3,1,2258,34,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2365,19,1,Below Standard,Below Standard,Below Standard
147231243,M,3,1,2299,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2395,19,2,Below Standard,At/Near Standard,Below Standard
443483752,F,3,1,2272,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2342,20,1,Below Standard,Below Standard,Below Standard
439321318,M,3,1,2486,24,3,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2479,16,3,Above Standard,Above Standard,At/Near Standard
458634953,F,3,1,2539,24,4,At/Near Standard,Above Standard,Above Standard,Above Standard,1,2482,17,3,At/Near Standard,Above Standard,At/Near Standard
445466634,M,3,1,2486,21,3,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2484,16,3,At/Near Standard,Above Standard,Above Standard
796362422,F,3,1,2305,26,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2311,22,1,Below Standard,Below Standard,Below Standard
223336233,F,3,1,2426,23,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2371,19,1,Below Standard,Below Standard,At/Near Standard
463285368,F,3,1,2300,27,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2373,20,1,Below Standard,Below Standard,Below Standard
352724777,M,3,1,2435,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2404,18,2,At/Near Standard,Below Standard,At/Near Standard
856783668,M,3,1,2328,25,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2398,18,2,At/Near Standard,Below Standard,At/Near Standard
439435241,M,3,1,2315,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2368,19,1,At/Near Standard,Below Standard,Below Standard
459823661,M,3,1,2495,22,4,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2486,16,3,Above Standard,Above Standard,Above Standard
436693266,F,3,1,2468,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2464,16,3,At/Near Standard,Above Standard,Below Standard
432658589,F,3,1,2459,21,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2416,18,2,At/Near Standard,Below Standard,Below Standard
486382585,M,3,1,2468,20,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2514,16,4,Above Standard,Above Standard,Above Standard
775676686,M,3,1,2511,21,4,Above Standard,At/Near Standard,At/Near Standard,Above Standard,1,2518,17,4,Above Standard,At/Near Standard,At/Near Standard
473245447,M,3,1,2467,26,3,At/Near Standard,Above Standard,Above Standard,Below Standard,1,2480,16,3,Above Standard,At/Near Standard,Above Standard
283748432,F,3,1,2444,21,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2364,21,1,Below Standard,Below Standard,At/Near Standard
385748833,F,3,1,2380,22,2,At/Near Standard,Below Standard,Below Standard,At/Near Standard,1,2390,19,2,Below Standard,At/Near Standard,At/Near Standard
468788139,F,3,1,2485,22,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2376,19,1,Below Standard,Below Standard,Below Standard
468348596,M,3,1,2398,22,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2446,17,3,At/Near Standard,At/Near Standard,At/Near Standard
455239716,F,3,1,2345,24,1,At/Near Standard,Below Standard,Below Standard,At/Near Standard,1,2332,22,1,Below Standard,Below Standard,Below Standard
464485931,M,3,1,2375,23,2,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2385,18,2,Below Standard,At/Near Standard,At/Near Standard
587265778,M,3,1,2365,22,1,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2358,19,1,Below Standard,Below Standard,Below Standard
218423856,M,3,1,2491,21,4,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2443,17,3,At/Near Standard,At/Near Standard,Below Standard
276352881,M,3,1,2300,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2404,17,2,At/Near Standard,At/Near Standard,Below Standard
299662448,F,3,1,2255,33,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2272,27,1,Below Standard,Below Standard,Below Standard
285315121,F,3,1,2595,26,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2490,15,3,Above Standard,Above Standard,At/Near Standard
247453449,M,3,1,2350,30,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2466,16,3,Above Standard,At/Near Standard,At/Near Standard
256866273,M,3,1,2451,22,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2436,17,3,At/Near Standard,At/Near Standard,At/Near Standard
367958386,F,3,1,2429,22,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2428,17,2,At/Near Standard,At/Near Standard,At/Near Standard
247894726,M,3,1,2548,23,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2527,17,4,Above Standard,Above Standard,Above Standard
634425254,M,3,1,2393,22,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2402,19,2,Below Standard,At/Near Standard,At/Near Standard
196568582,F,3,1,2466,23,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2465,16,3,At/Near Standard,At/Near Standard,Above Standard
239478877,M,3,1,2438,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2452,16,3,At/Near Standard,At/Near Standard,At/Near Standard
245268593,F,3,1,2409,24,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2446,18,3,At/Near Standard,At/Near Standard,At/Near Standard
264433626,F,3,1,2471,22,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2467,16,3,Above Standard,At/Near Standard,At/Near Standard
259966487,M,3,1,2424,23,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2423,18,2,At/Near Standard,At/Near Standard,At/Near Standard
245628178,F,3,1,2530,23,4,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2409,19,2,At/Near Standard,At/Near Standard,Below Standard
236867697,F,3,1,2272,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2313,23,1,Below Standard,Below Standard,At/Near Standard
222611378,F,3,1,2497,22,4,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2498,16,3,Above Standard,Above Standard,At/Near Standard
217343961,F,3,1,2371,21,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2366,21,1,Below Standard,Below Standard,At/Near Standard
634214369,M,3,1,2467,22,3,At/Near Standard,Below Standard,Above Standard,Above Standard,1,2452,16,3,At/Near Standard,At/Near Standard,At/Near Standard
236427274,F,3,1,2469,21,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2468,16,3,Above Standard,At/Near Standard,Above Standard
283886642,M,3,1,2371,23,2,At/Near Standard,Below Standard,Below Standard,At/Near Standard,1,2446,17,3,Above Standard,At/Near Standard,At/Near Standard
286168246,F,3,1,2347,26,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2344,21,1,Below Standard,Below Standard,Below Standard
264547614,M,3,1,2311,27,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2317,23,1,Below Standard,Below Standard,At/Near Standard
269566911,F,3,1,2319,25,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2387,19,2,At/Near Standard,Below Standard,At/Near Standard
242191882,F,3,1,2328,26,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2385,19,2,Below Standard,Below Standard,At/Near Standard
252524635,M,3,1,2308,26,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2326,21,1,Below Standard,Below Standard,Below Standard
256669268,M,3,1,2528,21,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2544,18,4,Above Standard,Above Standard,Above Standard
118774448,M,3,1,2373,24,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2392,18,2,At/Near Standard,Below Standard,At/Near Standard
154844241,M,3,1,2452,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2497,17,3,Above Standard,Above Standard,Above Standard
237284149,M,3,1,2460,25,3,At/Near Standard,Above Standard,At/Near Standard,Above Standard,1,2456,17,3,Above Standard,At/Near Standard,At/Near Standard
223846732,M,3,1,2276,32,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2323,22,1,Below Standard,Below Standard,Below Standard
293213432,M,3,1,2402,22,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2414,18,2,At/Near Standard,At/Near Standard,Below Standard
288755223,F,3,1,2528,24,4,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2506,17,4,Above Standard,Above Standard,At/Near Standard
274587784,F,3,1,2425,22,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2412,19,2,At/Near Standard,At/Near Standard,At/Near Standard
963428114,M,3,1,2260,34,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2430,19,2,At/Near Standard,At/Near Standard,At/Near Standard
293653827,F,3,1,2510,24,4,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2469,15,3,At/Near Standard,At/Near Standard,Above Standard
854622772,F,3,1,2502,22,4,At/Near Standard,Above Standard,Above Standard,At/Near Standard,1,2487,16,3,Above Standard,Above Standard,At/Near Standard
281297489,F,3,1,2552,23,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2521,17,4,Above Standard,Above Standard,Above Standard
276549266,M,3,1,2412,22,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2400,18,2,At/Near Standard,At/Near Standard,At/Near Standard
288385588,F,3,1,2425,23,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2455,17,3,Above Standard,At/Near Standard,At/Near Standard
274847361,M,3,1,2450,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2442,17,3,At/Near Standard,At/Near Standard,At/Near Standard
265286888,M,3,1,2463,22,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2459,18,3,At/Near Standard,At/Near Standard,Above Standard
256563252,M,3,1,2457,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2478,17,3,Above Standard,Above Standard,At/Near Standard
275744824,M,3,1,2254,33,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2274,25,1,Below Standard,Below Standard,At/Near Standard
272587586,F,3,1,2399,24,2,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2371,19,1,Below Standard,At/Near Standard,Below Standard
266231367,F,3,1,2437,22,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2391,17,2,At/Near Standard,Below Standard,Below Standard
861468183,F,3,1,2431,23,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2450,17,3,At/Near Standard,At/Near Standard,At/Near Standard
276543929,F,3,1,2427,20,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2433,17,2,At/Near Standard,At/Near Standard,At/Near Standard
248288785,M,3,1,2374,23,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2348,21,1,Below Standard,Below Standard,Below Standard
745146755,M,3,1,2393,22,2,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2400,17,2,At/Near Standard,Below Standard,At/Near Standard
484952673,F,3,1,2428,21,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2448,16,3,At/Near Standard,At/Near Standard,Above Standard
227571345,F,3,1,2505,22,4,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2507,16,4,Above Standard,Above Standard,Above Standard
132187767,F,3,1,2510,23,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2491,17,3,Above Standard,Above Standard,Above Standard
223237886,M,3,1,2405,24,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2492,16,3,At/Near Standard,Above Standard,Above Standard
227374422,M,3,1,2280,29,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2332,22,1,Below Standard,Below Standard,Below Standard
719922576,M,3,1,2480,24,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2513,16,4,Above Standard,Above Standard,Above Standard
294625297,F,3,1,2455,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2461,17,3,At/Near Standard,Above Standard,At/Near Standard
279516417,F,3,1,2449,24,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2455,16,3,Above Standard,At/Near Standard,At/Near Standard
259828752,F,3,1,2466,22,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2519,18,4,Above Standard,Above Standard,Above Standard
242856575,M,3,1,2233,35,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2335,23,1,Below Standard,Below Standard,Below Standard
783322545,F,3,1,2373,24,2,At/Near Standard,At/Near Standard,Below Standard,Below Standard,1,2347,19,1,Below Standard,Below Standard,Below Standard
