EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
102109966,M,7,1,2446,28,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2519,27,2,At/Near Standard,At/Near Standard,At/Near Standard
102485249,F,7,1,2552,25,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2589,20,3,Above Standard,At/Near Standard,At/Near Standard
102109968,M,7,1,2547,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2507,29,2,At/Near Standard,At/Near Standard,At/Near Standard
102110012,F,7,1,2659,28,4,At/Near Standard,Above Standard,At/Near Standard,Above Standard,1,2566,24,2,At/Near Standard,At/Near Standard,At/Near Standard
102110022,M,7,1,2481,26,2,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2445,35,1,Below Standard,At/Near Standard,Below Standard
163988937,M,7,1,2505,26,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2498,28,2,Below Standard,At/Near Standard,At/Near Standard
102110034,F,7,1,2482,25,2,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2492,28,2,Below Standard,At/Near Standard,At/Near Standard
102110051,F,7,1,2585,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2613,21,3,Above Standard,At/Near Standard,Above Standard
441278834,M,7,1,2468,28,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2431,34,1,Below Standard,At/Near Standard,At/Near Standard
102110070,M,7,1,2655,26,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2572,22,3,Below Standard,At/Near Standard,Above Standard
102110084,M,7,1,2348,36,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2468,30,1,Below Standard,Below Standard,Below Standard
102110094,F,7,1,2500,26,2,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2452,31,1,Below Standard,Below Standard,At/Near Standard
102110118,F,7,1,2531,28,2,At/Near Standard,At/Near Standard,Above Standard,Below Standard,1,2438,34,1,Below Standard,Below Standard,At/Near Standard
102110123,F,7,1,2464,25,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2340,49,1,Below Standard,Below Standard,Below Standard
102110127,M,7,1,2540,26,2,Below Standard,Above Standard,At/Near Standard,At/Near Standard,1,2564,22,2,At/Near Standard,At/Near Standard,At/Near Standard
100142684,F,7,1,2496,29,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2466,33,1,Below Standard,Below Standard,At/Near Standard
102110140,F,7,1,2391,31,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2329,51,1,Below Standard,Below Standard,Below Standard
102110166,M,7,1,2454,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2495,28,2,At/Near Standard,Below Standard,At/Near Standard
102110181,M,7,1,2619,25,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2683,22,4,Above Standard,Above Standard,Above Standard
102110184,M,7,1,2464,28,1,Below Standard,At/Near Standard,Below Standard,At/Near Standard,1,2577,22,3,At/Near Standard,At/Near Standard,At/Near Standard
102110194,M,7,1,2602,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2423,36,1,Below Standard,Below Standard,At/Near Standard
102110196,F,7,1,2534,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2406,34,1,Below Standard,Below Standard,Below Standard
102110186,M,7,1,2389,32,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2432,34,1,Below Standard,Below Standard,Below Standard
487354247,F,7,1,2452,27,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2480,29,1,Below Standard,At/Near Standard,At/Near Standard
102110202,M,7,1,2442,29,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2512,27,2,At/Near Standard,Below Standard,At/Near Standard
102110257,F,7,1,2530,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2530,28,2,At/Near Standard,At/Near Standard,At/Near Standard
102110273,M,7,1,2548,25,2,Above Standard,Below Standard,At/Near Standard,At/Near Standard,1,2550,23,2,At/Near Standard,At/Near Standard,At/Near Standard
446255467,M,7,1,2546,27,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2556,26,2,At/Near Standard,At/Near Standard,At/Near Standard
643716482,M,7,1,2477,25,1,At/Near Standard,At/Near Standard,Below Standard,Below Standard,1,2383,38,1,Below Standard,Below Standard,Below Standard
102110295,M,7,1,2491,27,2,At/Near Standard,At/Near Standard,Below Standard,Below Standard,1,2491,30,2,Below Standard,Below Standard,At/Near Standard
102110300,M,7,1,2594,25,3,Above Standard,Below Standard,Above Standard,Above Standard,1,2679,18,4,Above Standard,Above Standard,Above Standard
102110321,M,7,1,2605,23,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2545,28,2,At/Near Standard,At/Near Standard,At/Near Standard
102110344,F,7,1,2393,32,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2330,51,1,Below Standard,Below Standard,Below Standard
102110355,M,7,1,2642,26,3,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2632,21,3,Above Standard,At/Near Standard,Above Standard
102110374,F,7,1,2555,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2585,23,3,At/Near Standard,At/Near Standard,Above Standard
277556494,M,7,1,2449,26,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2372,35,1,Below Standard,Below Standard,Below Standard
479286885,F,7,1,2585,27,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2547,23,2,At/Near Standard,At/Near Standard,At/Near Standard
457631883,M,7,,,,,,,,,1,2388,50,1,Below Standard,Below Standard,Below Standard
102110420,M,7,1,2475,26,1,At/Near Standard,Below Standard,Below Standard,Below Standard,1,2467,29,1,Below Standard,At/Near Standard,At/Near Standard
232676175,F,7,1,2552,27,3,At/Near Standard,At/Near Standard,Below Standard,At/Near Standard,1,2523,25,2,At/Near Standard,At/Near Standard,At/Near Standard
102110431,F,7,1,2521,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2510,29,2,Below Standard,Below Standard,At/Near Standard
102110435,M,7,1,2455,25,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2454,31,1,Below Standard,Below Standard,At/Near Standard
102110451,M,7,1,2295,51,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2422,31,1,Below Standard,Below Standard,At/Near Standard
102110457,M,7,1,2480,26,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2411,39,1,Below Standard,Below Standard,Below Standard
102110482,M,7,1,2533,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2489,27,2,At/Near Standard,Below Standard,Below Standard
102110512,F,7,1,2616,25,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2625,20,3,At/Near Standard,Above Standard,At/Near Standard
102110513,F,7,1,2551,27,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2535,25,2,At/Near Standard,At/Near Standard,At/Near Standard
102110524,F,7,1,2548,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2564,24,2,At/Near Standard,At/Near Standard,At/Near Standard
102110541,M,7,1,2469,27,1,Below Standard,At/Near Standard,Below Standard,At/Near Standard,1,2478,29,1,Below Standard,At/Near Standard,At/Near Standard
102110526,F,7,1,2522,26,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2471,31,1,Below Standard,Below Standard,At/Near Standard
102110556,F,7,1,2685,28,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2700,20,4,Above Standard,Above Standard,Above Standard
102110571,F,7,1,2728,31,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2648,22,4,Above Standard,At/Near Standard,At/Near Standard
102424043,F,7,1,2470,26,1,Below Standard,At/Near Standard,At/Near Standard,Below Standard,1,2481,32,1,Below Standard,Below Standard,At/Near Standard
102110580,F,7,1,2642,26,3,Above Standard,At/Near Standard,At/Near Standard,Above Standard,1,2647,19,4,Above Standard,At/Near Standard,Above Standard
102110588,F,7,1,2493,25,2,Below Standard,At/Near Standard,Below Standard,At/Near Standard,1,2563,23,2,At/Near Standard,At/Near Standard,At/Near Standard
102110589,M,7,1,2521,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2525,24,2,At/Near Standard,At/Near Standard,At/Near Standard
100674478,M,7,1,2456,27,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2381,38,1,Below Standard,Below Standard,At/Near Standard
102110615,M,7,1,2602,25,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2577,22,3,At/Near Standard,At/Near Standard,At/Near Standard
102110644,M,7,1,2506,26,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2484,28,2,Below Standard,At/Near Standard,At/Near Standard
653775552,F,7,1,2483,26,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2548,26,2,At/Near Standard,At/Near Standard,At/Near Standard
102109653,M,7,1,2625,28,3,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2562,23,2,At/Near Standard,At/Near Standard,At/Near Standard
102109877,M,7,1,2456,29,1,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2510,27,2,At/Near Standard,At/Near Standard,At/Near Standard
102109904,M,7,1,2612,26,3,At/Near Standard,Above Standard,Above Standard,At/Near Standard,1,2583,22,3,At/Near Standard,At/Near Standard,At/Near Standard
102109907,M,7,1,2682,26,4,Above Standard,Above Standard,At/Near Standard,Above Standard,1,2695,20,4,Above Standard,Above Standard,Above Standard
102109928,F,7,1,2644,26,3,At/Near Standard,Above Standard,Above Standard,Above Standard,1,2665,22,4,Above Standard,Above Standard,At/Near Standard
102110242,F,7,1,2671,29,4,At/Near Standard,Above Standard,Above Standard,Above Standard,1,2638,20,4,At/Near Standard,Above Standard,Above Standard
758868433,F,7,1,2688,29,4,Above Standard,Above Standard,At/Near Standard,Above Standard,1,2641,20,4,At/Near Standard,Above Standard,At/Near Standard
102110325,F,7,1,2670,28,4,Above Standard,At/Near Standard,At/Near Standard,Above Standard,1,2567,20,3,At/Near Standard,At/Near Standard,At/Near Standard
102110359,F,7,1,2647,27,3,Above Standard,At/Near Standard,Above Standard,Above Standard,1,2670,19,4,Above Standard,Above Standard,Above Standard
102110499,M,7,1,2582,27,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2681,20,4,Above Standard,Above Standard,Above Standard
103324110,F,7,1,2505,28,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2550,21,2,At/Near Standard,At/Near Standard,At/Near Standard
763879651,F,7,1,2306,48,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2364,44,1,Below Standard,Below Standard,At/Near Standard
