EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
263237767,M,8,1,2465,32,1,955L,At/Near Standard,2528,45,Below Standard,2255,144,Below Standard,2363,119,At/Near Standard,2499,62,1,2493,33,1,905Q,Below Standard,2493,44,Below Standard,2448,80,At/Near Standard,2538,69
227432557,F,8,1,2577,26,3,1190L,At/Near Standard,2519,49,At/Near Standard,2549,49,Above Standard,2722,102,At/Near Standard,2623,53,1,2583,25,2,1100Q,At/Near Standard,2583,35,At/Near Standard,2567,53,At/Near Standard,2601,49
977649646,M,8,1,2467,26,1,960L,Below Standard,2480,56,Below Standard,2490,43,Below Standard,2427,71,Below Standard,2448,52,1,2503,32,1,925Q,Below Standard,2516,41,Below Standard,2452,88,At/Near Standard,2508,81
485681756,F,8,1,2510,27,2,1050L,At/Near Standard,2502,48,At/Near Standard,2589,56,Below Standard,2284,127,At/Near Standard,2519,49,1,2468,30,1,850Q,Below Standard,2424,45,At/Near Standard,2536,49,Below Standard,2458,72
248651537,M,8,1,2424,34,1,865L,At/Near Standard,2535,59,Below Standard,2377,68,Below Standard,2395,86,Below Standard,2392,62,1,2389,36,1,680Q,Below Standard,2333,53,Below Standard,2363,94,At/Near Standard,2545,67
663881415,F,8,1,2486,26,1,995L,At/Near Standard,2502,48,At/Near Standard,2542,45,At/Near Standard,2487,66,Below Standard,2342,91,1,2418,33,1,740Q,Below Standard,2420,44,Below Standard,2402,70,Below Standard,2432,72
476528697,F,8,1,2553,27,2,1140L,At/Near Standard,2548,50,At/Near Standard,2628,59,At/Near Standard,2525,81,At/Near Standard,2495,59,1,2598,25,3,1135Q,At/Near Standard,2606,37,At/Near Standard,2566,49,At/Near Standard,2634,62
286965861,M,8,1,2549,28,2,1135L,At/Near Standard,2594,43,Below Standard,2433,61,At/Near Standard,2651,76,At/Near Standard,2531,61,1,2504,31,2,930Q,Below Standard,2520,43,At/Near Standard,2479,74,At/Near Standard,2489,67
625725682,M,8,1,2501,27,2,1030L,Below Standard,2479,56,Below Standard,2471,53,At/Near Standard,2548,61,At/Near Standard,2511,49,1,2429,32,1,765Q,Below Standard,2413,42,At/Near Standard,2486,69,Below Standard,2420,76
244949775,M,8,1,2483,27,1,990L,At/Near Standard,2552,46,Below Standard,2357,84,At/Near Standard,2487,61,At/Near Standard,2465,70,1,2502,27,1,925Q,Below Standard,2523,38,Below Standard,2457,56,At/Near Standard,2511,61
228854854,M,8,1,2437,30,1,895L,Below Standard,2444,52,Below Standard,2373,77,At/Near Standard,2560,70,Below Standard,2389,66,1,2486,31,1,890Q,Below Standard,2467,45,Below Standard,2469,63,At/Near Standard,2537,55
596715248,F,8,1,2492,28,2,1010L,At/Near Standard,2509,49,At/Near Standard,2519,63,Below Standard,2441,70,Below Standard,2483,49,1,2489,32,1,895Q,Below Standard,2483,46,Below Standard,2352,149,At/Near Standard,2554,53
282115599,M,8,1,2744,33,4,1550L,Above Standard,2743,59,Above Standard,2718,59,Above Standard,2719,78,Above Standard,2797,76,1,2632,21,3,1205Q,At/Near Standard,2612,34,At/Near Standard,2615,43,Above Standard,2668,36
143349492,M,8,1,2445,31,1,910L,At/Near Standard,2519,47,Below Standard,2477,57,Below Standard,2301,141,Below Standard,2320,90,1,2459,31,1,830Q,Below Standard,2470,38,At/Near Standard,2527,67,Below Standard,2234,165
499483757,F,8,1,2560,27,2,1155L,At/Near Standard,2586,49,At/Near Standard,2558,52,At/Near Standard,2564,67,At/Near Standard,2523,60,1,2533,30,2,990Q,Below Standard,2480,46,At/Near Standard,2544,57,At/Near Standard,2618,58
418751397,F,8,1,2623,28,3,1290L,At/Near Standard,2554,49,Above Standard,2678,61,At/Near Standard,2592,68,Above Standard,2671,55,1,2497,32,1,915Q,Below Standard,2517,42,Below Standard,2378,88,At/Near Standard,2540,66
263635686,M,8,1,2522,30,2,1075L,At/Near Standard,2559,45,At/Near Standard,2562,69,At/Near Standard,2534,73,Below Standard,2409,77,1,2539,28,2,1005Q,At/Near Standard,2541,37,At/Near Standard,2588,51,Below Standard,2431,84
466229843,F,8,1,2626,28,3,1295L,Above Standard,2661,53,At/Near Standard,2615,57,At/Near Standard,2602,77,At/Near Standard,2613,49,1,2559,30,2,1050Q,Below Standard,2494,50,Above Standard,2693,59,At/Near Standard,2482,73
685565957,F,8,1,2561,27,2,1160L,At/Near Standard,2587,48,At/Near Standard,2509,54,At/Near Standard,2590,81,At/Near Standard,2566,51,1,2528,30,2,980Q,At/Near Standard,2569,41,Below Standard,2466,67,At/Near Standard,2490,74
258479168,M,8,1,2459,33,1,940L,Below Standard,2468,53,Below Standard,2394,78,At/Near Standard,2613,75,Below Standard,2321,95,1,2479,31,1,875Q,Below Standard,2499,42,Below Standard,2483,55,Below Standard,2377,104
462351563,F,8,1,2672,29,4,1395L,Above Standard,2685,49,At/Near Standard,2649,63,At/Near Standard,2660,77,Above Standard,2679,53,1,2531,30,2,990Q,At/Near Standard,2532,41,At/Near Standard,2526,60,At/Near Standard,2534,65
428674826,F,8,1,2553,29,2,1140L,At/Near Standard,2506,56,At/Near Standard,2625,62,At/Near Standard,2574,67,At/Near Standard,2521,60,1,2520,29,2,965Q,Below Standard,2504,42,Below Standard,2479,51,At/Near Standard,2628,69
281229587,M,8,1,2534,29,2,1100L,Below Standard,2446,53,At/Near Standard,2636,75,At/Near Standard,2601,72,At/Near Standard,2551,61,1,2550,27,2,1030Q,Below Standard,2505,42,At/Near Standard,2595,41,At/Near Standard,2568,55
452383412,F,8,1,2535,28,2,1105L,At/Near Standard,2574,48,At/Near Standard,2508,53,At/Near Standard,2575,68,At/Near Standard,2481,65,1,2543,30,2,1015Q,At/Near Standard,2535,40,At/Near Standard,2631,63,Below Standard,2417,95
337734774,F,8,1,2569,29,3,1175L,At/Near Standard,2598,46,At/Near Standard,2570,63,At/Near Standard,2577,78,At/Near Standard,2511,64,1,2544,29,2,1015Q,At/Near Standard,2527,41,At/Near Standard,2608,54,At/Near Standard,2477,80
233562187,F,8,1,2561,29,2,1160L,At/Near Standard,2573,49,At/Near Standard,2514,50,At/Near Standard,2599,74,At/Near Standard,2586,65,1,2489,31,1,895Q,Below Standard,2484,43,Below Standard,2484,62,At/Near Standard,2508,67
737945762,F,8,1,2620,28,3,1285L,At/Near Standard,2627,50,At/Near Standard,2629,57,At/Near Standard,2586,70,At/Near Standard,2622,51,1,2516,29,2,955Q,Below Standard,2480,40,At/Near Standard,2581,50,At/Near Standard,2504,79
428357226,F,8,1,2647,25,3,1340L,At/Near Standard,2592,40,Above Standard,2656,53,Above Standard,2743,97,Above Standard,2688,53,1,2562,30,2,1055Q,At/Near Standard,2556,42,At/Near Standard,2641,51,Below Standard,2408,92
272726745,M,8,1,2506,30,2,1040L,Below Standard,2432,62,At/Near Standard,2518,60,At/Near Standard,2570,77,At/Near Standard,2551,72,1,2574,27,2,1080Q,At/Near Standard,2564,37,At/Near Standard,2653,50,At/Near Standard,2430,108
556673559,F,8,1,2539,27,2,1110L,Below Standard,2493,48,At/Near Standard,2522,45,At/Near Standard,2650,88,At/Near Standard,2584,64,1,2481,32,1,880Q,Below Standard,2491,42,At/Near Standard,2476,80,Below Standard,2459,69
579236832,F,8,1,2507,25,2,1045L,Below Standard,2435,55,At/Near Standard,2574,47,Below Standard,2409,73,At/Near Standard,2563,60,1,2544,28,2,1015Q,Below Standard,2515,42,At/Near Standard,2577,45,At/Near Standard,2550,63
214923487,M,8,1,2688,28,4,1430L,Above Standard,2686,44,At/Near Standard,2651,61,Above Standard,2731,75,Above Standard,2699,61,1,2621,23,3,1185Q,At/Near Standard,2601,33,At/Near Standard,2637,41,At/Near Standard,2646,51
243674559,M,8,1,2570,27,3,1175L,At/Near Standard,2547,48,At/Near Standard,2586,48,At/Near Standard,2546,69,At/Near Standard,2602,61,1,2594,27,3,1125Q,At/Near Standard,2612,38,At/Near Standard,2616,45,At/Near Standard,2521,64
446232241,F,8,1,2621,27,3,1285L,At/Near Standard,2571,40,At/Near Standard,2596,56,Above Standard,2820,123,Above Standard,2659,59,1,2590,25,3,1115Q,At/Near Standard,2621,35,At/Near Standard,2573,47,At/Near Standard,2500,82
266476451,M,8,1,2724,31,4,1505L,Above Standard,2700,46,Above Standard,2714,71,Above Standard,2982,215,Above Standard,2719,57,1,2649,24,3,1245Q,At/Near Standard,2599,35,Above Standard,2734,38,At/Near Standard,2597,57
243616388,M,8,1,2582,30,3,1205L,At/Near Standard,2594,55,At/Near Standard,2537,52,Above Standard,2808,128,At/Near Standard,2538,60,1,2674,19,4,1300Q,Above Standard,2646,30,Above Standard,2696,30,Above Standard,2685,39
277182786,F,8,1,2457,26,1,935L,Below Standard,2389,69,Below Standard,2449,47,At/Near Standard,2502,63,At/Near Standard,2496,52,1,2562,29,2,1055Q,At/Near Standard,2563,41,At/Near Standard,2493,74,At/Near Standard,2626,65
256418389,M,8,1,2582,25,3,1205L,At/Near Standard,2550,47,At/Near Standard,2633,48,At/Near Standard,2570,63,At/Near Standard,2571,51,1,2599,25,3,1135Q,At/Near Standard,2544,39,Above Standard,2663,45,At/Near Standard,2617,52
247657828,M,8,1,2543,28,2,1120L,At/Near Standard,2532,48,At/Near Standard,2501,56,At/Near Standard,2627,82,At/Near Standard,2552,54,1,2506,30,2,935Q,Below Standard,2485,43,At/Near Standard,2532,51,At/Near Standard,2521,76
754466263,M,8,1,2606,27,3,1255L,Above Standard,2652,49,At/Near Standard,2518,65,At/Near Standard,2592,57,At/Near Standard,2626,56,1,2602,26,3,1140Q,At/Near Standard,2590,37,At/Near Standard,2591,51,At/Near Standard,2645,56
294475115,M,8,1,2501,26,2,1030L,Below Standard,2471,42,At/Near Standard,2612,66,At/Near Standard,2526,73,Below Standard,2454,55,1,2552,27,2,1035Q,Below Standard,2509,38,At/Near Standard,2543,54,At/Near Standard,2636,46
262292381,M,8,1,2542,27,2,1120L,Below Standard,2441,59,At/Near Standard,2634,60,At/Near Standard,2670,90,At/Near Standard,2513,61,1,2441,32,1,790Q,Below Standard,2434,41,Below Standard,2481,68,Below Standard,2415,82
484545574,F,8,1,2677,29,4,1405L,Above Standard,2727,60,Above Standard,2675,67,At/Near Standard,2601,69,Above Standard,2672,47,1,2590,28,3,1115Q,At/Near Standard,2561,45,Above Standard,2651,38,At/Near Standard,2499,82
237838476,M,8,1,2513,26,2,1055L,Below Standard,2501,44,At/Near Standard,2492,51,At/Near Standard,2483,74,At/Near Standard,2575,58,1,2527,30,2,980Q,At/Near Standard,2570,42,Below Standard,2488,61,Below Standard,2468,70
227377915,M,8,1,2498,26,2,1025L,Below Standard,2492,45,Below Standard,2425,51,At/Near Standard,2651,83,At/Near Standard,2494,64,1,2447,35,1,805Q,Below Standard,2401,49,Below Standard,2409,74,At/Near Standard,2579,52
275994282,M,8,1,2459,29,1,940L,Below Standard,2441,50,Below Standard,2381,95,At/Near Standard,2488,64,At/Near Standard,2493,55,1,2378,36,1,655Q,Below Standard,2391,45,Below Standard,2408,72,Below Standard,2281,111
452363769,F,8,1,2688,31,4,1430L,Above Standard,2664,43,At/Near Standard,2647,61,Above Standard,2922,191,Above Standard,2723,68,1,2702,22,4,1360Q,Above Standard,2661,35,Above Standard,2747,43,Above Standard,2720,42
223721626,M,8,1,2501,27,2,1030L,At/Near Standard,2526,43,Below Standard,2481,50,At/Near Standard,2512,70,At/Near Standard,2476,61,1,2463,30,1,840Q,Below Standard,2461,40,Below Standard,2466,57,Below Standard,2464,66
231775267,F,8,1,2654,28,3,1355L,Above Standard,2638,46,At/Near Standard,2604,45,At/Near Standard,2660,92,Above Standard,2750,68,1,2555,29,2,1040Q,At/Near Standard,2528,41,At/Near Standard,2558,49,At/Near Standard,2627,65
284847622,M,8,1,2355,43,1,720L,Below Standard,2252,141,Below Standard,2449,75,Below Standard,2295,101,Below Standard,2363,78,1,2424,32,1,755Q,Below Standard,2430,42,Below Standard,2434,65,Below Standard,2387,82
251664716,M,8,1,2593,27,3,1225L,At/Near Standard,2560,44,At/Near Standard,2619,56,At/Near Standard,2697,111,At/Near Standard,2589,54,1,2595,26,3,1125Q,At/Near Standard,2601,37,At/Near Standard,2646,48,At/Near Standard,2481,93
437394826,M,8,1,2571,25,3,1180L,At/Near Standard,2518,49,At/Near Standard,2603,45,At/Near Standard,2588,75,At/Near Standard,2583,49,1,2549,30,2,1025Q,At/Near Standard,2528,41,At/Near Standard,2539,62,At/Near Standard,2615,63
287236878,M,8,1,2479,26,1,985L,At/Near Standard,2521,45,At/Near Standard,2517,44,Below Standard,2448,73,Below Standard,2334,85,1,2571,29,2,1075Q,At/Near Standard,2568,42,At/Near Standard,2575,50,At/Near Standard,2573,69
413478124,F,8,1,2749,30,4,1560L,Above Standard,2780,61,Above Standard,2727,61,Above Standard,2694,73,Above Standard,2766,57,1,2608,27,3,1155Q,At/Near Standard,2598,38,At/Near Standard,2630,50,At/Near Standard,2597,63
446684757,F,8,1,2490,26,2,1005L,Below Standard,2464,52,At/Near Standard,2529,45,Below Standard,2415,75,At/Near Standard,2508,60,1,2325,44,1,540Q,Below Standard,2287,64,Below Standard,2421,74,Below Standard,2313,99
422265525,F,8,1,2649,27,3,1345L,Above Standard,2754,68,Above Standard,2670,51,At/Near Standard,2542,66,At/Near Standard,2587,58,1,2620,25,3,1180Q,At/Near Standard,2561,39,Above Standard,2694,40,At/Near Standard,2608,57
436146474,F,8,1,2590,28,3,1220L,At/Near Standard,2520,44,At/Near Standard,2640,55,At/Near Standard,2550,74,At/Near Standard,2669,69,1,2570,29,2,1070Q,At/Near Standard,2535,44,At/Near Standard,2604,48,At/Near Standard,2583,58
525534672,M,8,1,2413,31,1,845L,Below Standard,2422,57,Below Standard,2301,88,At/Near Standard,2487,71,Below Standard,2447,57,1,2388,38,1,675Q,Below Standard,2470,45,Below Standard,2183,195,Below Standard,2179,182
638692378,F,8,1,2619,29,3,1280L,Above Standard,2661,54,At/Near Standard,2596,65,At/Near Standard,2601,71,At/Near Standard,2603,50,1,2517,32,2,955Q,At/Near Standard,2529,43,At/Near Standard,2507,67,At/Near Standard,2501,68
459591655,F,8,1,2692,28,4,1435L,Above Standard,2737,57,At/Near Standard,2640,52,Above Standard,2759,84,Above Standard,2670,50,1,2626,23,3,1195Q,At/Near Standard,2554,36,Above Standard,2760,61,At/Near Standard,2640,57
138253628,M,8,1,2496,24,2,1020L,Below Standard,2488,39,At/Near Standard,2495,51,At/Near Standard,2577,68,Below Standard,2455,55,1,2476,34,1,870Q,Below Standard,2476,44,Below Standard,2473,65,At/Near Standard,2476,88
176566152,M,8,1,2652,27,3,1350L,Above Standard,2802,75,At/Near Standard,2556,51,Above Standard,2681,72,At/Near Standard,2568,71,1,2596,26,3,1130Q,At/Near Standard,2555,41,Above Standard,2665,51,At/Near Standard,2606,47
139252658,M,8,1,2614,29,3,1270L,At/Near Standard,2536,48,At/Near Standard,2660,66,At/Near Standard,2656,95,Above Standard,2665,58,1,2728,21,4,1415Q,Above Standard,2701,33,Above Standard,2731,33,Above Standard,2793,59
237946913,M,8,1,2509,29,2,1045L,At/Near Standard,2523,51,At/Near Standard,2560,44,At/Near Standard,2458,78,Below Standard,2438,62,1,2378,36,1,655Q,Below Standard,2368,48,Below Standard,2408,64,Below Standard,2357,93
487253727,F,8,1,2623,26,3,1290L,At/Near Standard,2639,48,At/Near Standard,2610,53,At/Near Standard,2549,64,Above Standard,2661,50,1,2571,28,2,1075Q,At/Near Standard,2577,40,At/Near Standard,2620,46,Below Standard,2436,98
455889894,F,8,1,2596,27,3,1235L,At/Near Standard,2586,44,At/Near Standard,2610,54,At/Near Standard,2677,80,At/Near Standard,2535,67,1,2559,29,2,1050Q,At/Near Standard,2527,43,At/Near Standard,2609,44,At/Near Standard,2544,68
262342755,F,8,1,2532,25,2,1095L,At/Near Standard,2549,47,At/Near Standard,2514,44,At/Near Standard,2530,59,At/Near Standard,2539,53,1,2476,33,1,870Q,Below Standard,2414,48,Below Standard,2490,61,At/Near Standard,2602,63
653665433,M,8,1,2548,26,2,1130L,At/Near Standard,2559,45,At/Near Standard,2598,55,At/Near Standard,2578,69,Below Standard,2446,72,1,2556,29,2,1040Q,At/Near Standard,2551,42,At/Near Standard,2583,44,At/Near Standard,2507,73
478444275,F,8,1,2649,28,3,1345L,Above Standard,2650,45,At/Near Standard,2567,52,At/Near Standard,2681,84,Above Standard,2706,52,1,2623,23,3,1185Q,At/Near Standard,2596,34,At/Near Standard,2636,47,Above Standard,2666,45
757156224,F,8,1,2546,25,2,1125L,At/Near Standard,2624,46,At/Near Standard,2530,43,At/Near Standard,2526,68,Below Standard,2479,57,1,2467,33,1,850Q,Below Standard,2478,46,At/Near Standard,2513,57,Below Standard,2315,123
825497857,M,8,1,2583,26,3,1205L,At/Near Standard,2564,55,At/Near Standard,2641,51,At/Near Standard,2543,69,At/Near Standard,2540,58,1,2579,27,2,1090Q,At/Near Standard,2541,39,At/Near Standard,2623,45,At/Near Standard,2602,63
167715671,M,8,1,2539,26,2,1110L,At/Near Standard,2491,52,At/Near Standard,2551,46,At/Near Standard,2570,63,At/Near Standard,2552,51,1,2551,29,2,1030Q,At/Near Standard,2569,37,At/Near Standard,2515,60,At/Near Standard,2546,72
444375458,F,8,1,2583,26,3,1205L,At/Near Standard,2516,47,Above Standard,2663,64,At/Near Standard,2607,71,At/Near Standard,2575,52,1,2594,25,3,1125Q,At/Near Standard,2581,36,At/Near Standard,2610,42,At/Near Standard,2601,59
496243164,F,8,1,2550,25,2,1135L,At/Near Standard,2520,47,At/Near Standard,2554,45,At/Near Standard,2652,82,At/Near Standard,2536,53,1,2545,29,2,1020Q,Below Standard,2520,42,At/Near Standard,2497,72,At/Near Standard,2675,71
486739322,F,8,1,2624,25,3,1290L,At/Near Standard,2592,45,Above Standard,2682,57,At/Near Standard,2561,61,Above Standard,2651,53,1,2554,29,2,1035Q,Below Standard,2490,42,At/Near Standard,2620,47,At/Near Standard,2594,66
245836787,F,8,1,2523,28,2,1075L,Below Standard,2466,57,Above Standard,2670,60,Below Standard,2384,97,At/Near Standard,2512,55,1,2529,28,2,985Q,At/Near Standard,2557,39,At/Near Standard,2466,80,At/Near Standard,2510,59
277298512,F,8,1,2451,32,1,925L,Below Standard,2444,64,At/Near Standard,2537,68,Below Standard,2346,96,Below Standard,2445,61,1,2460,31,1,835Q,Below Standard,2461,41,At/Near Standard,2497,64,Below Standard,2412,77
454556517,F,8,1,2670,28,4,1390L,Above Standard,2687,51,Above Standard,2744,65,Above Standard,2725,77,At/Near Standard,2570,60,1,2603,24,3,1145Q,At/Near Standard,2603,37,At/Near Standard,2557,49,Above Standard,2658,46
345892823,F,8,1,2479,27,1,985L,At/Near Standard,2512,45,Below Standard,2423,56,At/Near Standard,2559,70,Below Standard,2433,66,1,2498,31,1,915Q,Below Standard,2513,42,Below Standard,2421,99,At/Near Standard,2508,60
134543866,M,8,1,2736,33,4,1530L,Above Standard,2758,62,Above Standard,2755,73,At/Near Standard,2683,80,Above Standard,2724,62,1,2597,28,3,1130Q,At/Near Standard,2570,40,Above Standard,2691,61,At/Near Standard,2538,68
491533323,F,8,1,2571,28,3,1180L,At/Near Standard,2569,45,At/Near Standard,2598,59,At/Near Standard,2585,80,At/Near Standard,2538,61,1,2596,23,3,1130Q,At/Near Standard,2564,35,Above Standard,2668,43,At/Near Standard,2559,59
182368953,M,8,1,2539,26,2,1110L,Below Standard,2471,53,At/Near Standard,2639,59,At/Near Standard,2527,66,At/Near Standard,2535,52,1,2432,32,1,775Q,Below Standard,2494,42,Below Standard,2324,94,Below Standard,2331,99
467358418,F,8,1,2460,26,1,945L,Below Standard,2423,54,Below Standard,2407,53,At/Near Standard,2546,60,At/Near Standard,2497,54,1,2358,42,1,610Q,Below Standard,2320,63,Below Standard,2321,128,Below Standard,2471,72
443267753,F,8,1,2618,27,3,1280L,At/Near Standard,2576,47,Above Standard,2741,62,At/Near Standard,2574,74,At/Near Standard,2602,47,1,2583,27,2,1100Q,At/Near Standard,2567,40,At/Near Standard,2646,43,At/Near Standard,2508,74
471827767,F,8,1,2692,30,4,1435L,At/Near Standard,2610,45,Above Standard,2840,105,Above Standard,2688,74,Above Standard,2751,72,1,2721,20,4,1400Q,Above Standard,2714,31,Above Standard,2706,33,Above Standard,2773,54
157186248,M,8,1,2664,29,3,1380L,Above Standard,2642,42,At/Near Standard,2637,61,At/Near Standard,2670,82,Above Standard,2744,71,1,2606,28,3,1150Q,At/Near Standard,2576,38,Above Standard,2708,57,At/Near Standard,2526,70
215152853,M,8,1,2605,26,3,1250L,At/Near Standard,2621,42,At/Near Standard,2531,49,At/Near Standard,2688,87,At/Near Standard,2621,50,1,2631,25,3,1205Q,At/Near Standard,2624,37,Above Standard,2677,42,At/Near Standard,2555,67
558343266,F,8,1,2601,28,3,1245L,At/Near Standard,2554,47,At/Near Standard,2637,63,Above Standard,2734,76,At/Near Standard,2559,56,1,2588,24,3,1110Q,At/Near Standard,2606,32,At/Near Standard,2596,41,At/Near Standard,2465,87
462514935,F,8,1,2431,31,1,880L,Below Standard,2346,89,Below Standard,2466,46,Below Standard,2402,94,Below Standard,2456,68,1,2274,55,1,430Q,Below Standard,2231,82,Below Standard,2366,93,Below Standard,2294,106
263778248,M,8,1,2576,29,3,1190L,Above Standard,2662,49,At/Near Standard,2564,62,At/Near Standard,2560,65,Below Standard,2434,85,1,2477,31,1,870Q,Below Standard,2474,43,Below Standard,2438,63,At/Near Standard,2534,65
443167692,M,8,1,2674,30,4,1400L,Above Standard,2761,61,At/Near Standard,2628,63,At/Near Standard,2580,76,Above Standard,2672,55,1,2553,29,2,1035Q,At/Near Standard,2525,45,At/Near Standard,2602,45,At/Near Standard,2532,61
326287357,F,8,1,2654,27,3,1355L,Above Standard,2692,51,At/Near Standard,2588,52,At/Near Standard,2674,76,Above Standard,2665,47,1,2598,28,3,1135Q,At/Near Standard,2599,38,At/Near Standard,2632,46,At/Near Standard,2526,66
385697883,F,8,1,2556,28,2,1145L,Below Standard,2471,57,At/Near Standard,2621,61,At/Near Standard,2678,106,At/Near Standard,2559,54,1,2499,31,1,920Q,Below Standard,2504,40,At/Near Standard,2539,60,Below Standard,2402,94
628445128,F,8,1,2608,27,3,1260L,At/Near Standard,2561,47,At/Near Standard,2585,53,At/Near Standard,2707,96,Above Standard,2646,49,1,2552,29,2,1035Q,At/Near Standard,2556,39,At/Near Standard,2587,50,At/Near Standard,2478,72
324665882,M,8,1,2520,27,2,1070L,At/Near Standard,2560,47,At/Near Standard,2553,66,At/Near Standard,2519,72,Below Standard,2453,52,1,2478,30,1,870Q,Below Standard,2511,43,Below Standard,2463,53,Below Standard,2382,104
488873293,F,8,1,2496,27,2,1020L,At/Near Standard,2568,44,Below Standard,2415,57,At/Near Standard,2501,76,Below Standard,2475,60,1,2396,38,1,695Q,Below Standard,2380,53,Below Standard,2382,83,Below Standard,2450,78
437579749,F,8,1,2479,25,1,985L,Below Standard,2494,39,Below Standard,2320,79,At/Near Standard,2616,93,At/Near Standard,2540,62,1,2437,31,1,785Q,Below Standard,2474,39,Below Standard,2255,178,Below Standard,2430,83
