EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
102109615,F,10,1,2575,30,2,1205L,At/Near Standard,2551,53,At/Near Standard,2605,49,At/Near Standard,2511,90,At/Near Standard,2597,68,1,2483,45,1,965Q,Below Standard,2490,53,At/Near Standard,2447,144,At/Near Standard,2479,101
265858888,F,10,1,2434,33,1,930L,Below Standard,2435,59,Below Standard,2408,52,At/Near Standard,2504,107,Below Standard,2458,71,1,2438,49,1,880Q,Below Standard,2456,58,At/Near Standard,2559,91,Below Standard,2272,182
167843514,M,10,1,2438,34,1,940L,Below Standard,2447,59,Below Standard,2419,56,At/Near Standard,2456,90,Below Standard,2448,79,1,2444,46,1,890Q,Below Standard,2410,70,Below Standard,2347,159,At/Near Standard,2521,66
102109637,M,10,1,2495,30,2,1050L,At/Near Standard,2510,48,At/Near Standard,2527,56,Below Standard,2464,72,Below Standard,2452,73,1,2461,45,1,925Q,Below Standard,2485,57,Below Standard,2465,88,Below Standard,2380,119
102109651,F,10,1,2310,42,1,690L,Below Standard,2156,215,Below Standard,2305,59,Below Standard,2448,76,Below Standard,2173,215,1,2347,61,1,710Q,Below Standard,2118,191,At/Near Standard,2676,85,Below Standard,2388,102
102109652,M,10,1,2536,29,2,1130L,At/Near Standard,2466,80,At/Near Standard,2574,46,At/Near Standard,2552,64,At/Near Standard,2509,67,1,2593,31,2,1170Q,At/Near Standard,2597,37,At/Near Standard,2554,88,At/Near Standard,2614,81
102109664,M,10,1,2432,36,1,925L,At/Near Standard,2495,60,Below Standard,2305,93,Below Standard,2366,94,At/Near Standard,2496,60,1,2379,61,1,770Q,Below Standard,2361,81,At/Near Standard,2524,99,Below Standard,2246,185
102109713,M,10,1,2602,28,3,1260L,At/Near Standard,2540,58,At/Near Standard,2571,48,Above Standard,2715,81,At/Near Standard,2655,58,1,2653,28,3,1280Q,At/Near Standard,2626,38,At/Near Standard,2688,64,Above Standard,2706,56
101376294,F,10,1,2549,26,2,1155L,At/Near Standard,2535,50,At/Near Standard,2556,43,At/Near Standard,2599,74,At/Near Standard,2522,62,1,2482,45,1,960Q,Below Standard,2448,61,At/Near Standard,2620,98,At/Near Standard,2493,83
102109732,M,10,1,2603,27,3,1260L,At/Near Standard,2565,50,At/Near Standard,2636,50,At/Near Standard,2627,87,At/Near Standard,2603,55,1,2564,32,2,1115Q,Below Standard,2543,41,At/Near Standard,2625,67,At/Near Standard,2575,78
102109745,M,10,1,2461,34,1,985L,Below Standard,2376,78,Below Standard,2472,55,Above Standard,2748,107,Below Standard,2354,105,1,2465,45,1,930Q,Below Standard,2528,44,Below Standard,2376,148,Below Standard,2185,198
102621572,F,10,1,2471,33,1,1000L,At/Near Standard,2522,59,Below Standard,2468,53,Below Standard,2399,79,At/Near Standard,2483,69,1,2402,56,1,815Q,Below Standard,2343,79,Below Standard,2381,151,At/Near Standard,2534,72
102109765,F,10,1,2646,27,3,1345L,Above Standard,2691,48,Above Standard,2665,53,Above Standard,2729,81,At/Near Standard,2303,215,1,2611,28,2,1200Q,At/Near Standard,2592,37,At/Near Standard,2609,69,At/Near Standard,2680,65
102109796,M,10,1,2496,33,2,1050L,At/Near Standard,2540,66,Below Standard,2462,53,At/Near Standard,2585,88,Below Standard,2447,79,1,2467,41,1,935Q,Below Standard,2425,61,At/Near Standard,2562,68,Below Standard,2425,120
102109811,M,10,1,2531,30,2,1120L,At/Near Standard,2517,52,At/Near Standard,2583,48,At/Near Standard,2595,78,Below Standard,2192,215,1,2522,40,1,1035Q,Below Standard,2525,48,At/Near Standard,2520,120,At/Near Standard,2513,86
102109826,M,10,1,2570,29,2,1195L,At/Near Standard,2620,51,At/Near Standard,2558,52,At/Near Standard,2584,72,At/Near Standard,2464,92,1,2549,31,2,1085Q,At/Near Standard,2605,36,Below Standard,2331,181,Below Standard,2243,198
102109839,M,10,1,2522,30,2,1100L,Below Standard,2451,61,At/Near Standard,2575,52,At/Near Standard,2558,80,At/Near Standard,2517,71,1,2484,42,1,965Q,Below Standard,2440,66,At/Near Standard,2512,83,At/Near Standard,2560,90
102109866,F,10,1,2670,26,3,1390L,Above Standard,2697,47,Above Standard,2690,51,Above Standard,2762,85,At/Near Standard,2554,66,1,2606,24,2,1190Q,At/Near Standard,2570,38,At/Near Standard,2667,45,At/Near Standard,2599,47
102109876,M,10,1,2406,33,1,875L,Below Standard,2349,71,Below Standard,2403,53,At/Near Standard,2504,70,Below Standard,2386,95,1,2464,45,1,930Q,Below Standard,2514,47,At/Near Standard,2471,160,Below Standard,2263,170
102109892,F,10,1,2533,30,2,1125L,At/Near Standard,2564,59,At/Near Standard,2537,48,At/Near Standard,2542,75,At/Near Standard,2459,87,1,2639,24,3,1255Q,At/Near Standard,2633,35,At/Near Standard,2643,47,At/Near Standard,2646,49
100142700,F,10,1,2654,28,3,1360L,Above Standard,2697,50,At/Near Standard,2625,54,At/Near Standard,2638,79,At/Near Standard,2636,56,1,2535,36,2,1060Q,At/Near Standard,2562,42,At/Near Standard,2505,95,Below Standard,2476,83
287316725,F,10,1,2571,29,2,1200L,At/Near Standard,2539,58,At/Near Standard,2610,54,At/Near Standard,2616,82,At/Near Standard,2540,57,1,2460,45,1,920Q,Below Standard,2487,48,Below Standard,2256,198,Below Standard,2401,112
102109926,M,10,1,2377,42,1,820L,Below Standard,2297,119,Below Standard,2418,61,Below Standard,2400,103,Below Standard,2339,106,1,2491,42,1,980Q,Below Standard,2527,46,Below Standard,2314,198,Below Standard,2418,107
100148321,M,10,1,2392,42,1,850L,Below Standard,2453,75,Below Standard,2416,60,Below Standard,2275,139,Below Standard,2313,128,1,2466,45,1,935Q,Below Standard,2494,49,At/Near Standard,2407,198,Below Standard,2385,102
102109947,M,10,1,2734,30,4,1515L,Above Standard,2709,48,Above Standard,2696,55,Above Standard,2817,94,Above Standard,2801,78,1,2761,25,4,1480Q,Above Standard,2777,36,Above Standard,2733,39,Above Standard,2790,70
102109966,M,10,1,2452,33,1,965L,At/Near Standard,2507,49,Below Standard,2417,63,At/Near Standard,2492,105,Below Standard,2336,110,1,2505,38,1,1005Q,Below Standard,2474,54,At/Near Standard,2334,198,At/Near Standard,2595,52
102485249,F,10,1,2627,25,3,1305L,At/Near Standard,2588,42,At/Near Standard,2638,49,At/Near Standard,2621,70,Above Standard,2689,55,1,2642,27,3,1260Q,At/Near Standard,2610,37,At/Near Standard,2587,94,Above Standard,2786,70
102109968,M,10,1,2587,27,3,1230L,Below Standard,2476,56,Above Standard,2688,60,At/Near Standard,2543,72,At/Near Standard,2625,58,1,2588,32,2,1160Q,At/Near Standard,2582,40,At/Near Standard,2590,88,At/Near Standard,2605,67
102110012,F,10,1,2625,26,3,1305L,At/Near Standard,2608,42,At/Near Standard,2616,49,At/Near Standard,2592,80,Above Standard,2680,56,1,2569,36,2,1125Q,At/Near Standard,2586,43,At/Near Standard,2476,122,At/Near Standard,2569,79
102110022,M,10,1,2502,32,2,1065L,Below Standard,2422,62,At/Near Standard,2539,54,At/Near Standard,2566,76,At/Near Standard,2496,75,1,2485,42,1,970Q,Below Standard,2478,56,Below Standard,2411,134,At/Near Standard,2542,70
163988937,M,10,1,2550,30,2,1155L,Above Standard,2679,49,Below Standard,2473,65,At/Near Standard,2480,103,Below Standard,2420,97,1,2637,26,3,1250Q,At/Near Standard,2644,29,At/Near Standard,2609,79,At/Near Standard,2613,97
102110034,F,10,1,2503,30,2,1065L,Below Standard,2490,49,At/Near Standard,2503,59,At/Near Standard,2498,73,At/Near Standard,2537,70,1,2413,55,1,835Q,Below Standard,2398,75,At/Near Standard,2434,180,Below Standard,2432,94
441278834,M,10,1,2477,35,1,1015L,At/Near Standard,2513,62,Below Standard,2492,56,At/Near Standard,2484,80,Below Standard,2343,119,1,2412,57,1,835Q,Below Standard,2374,80,At/Near Standard,2485,100,Below Standard,2431,119
102110070,M,10,1,2585,26,3,1225L,At/Near Standard,2603,44,At/Near Standard,2621,49,At/Near Standard,2592,65,At/Near Standard,2445,100,1,2569,28,2,1125Q,At/Near Standard,2565,38,At/Near Standard,2594,54,At/Near Standard,2557,57
102110084,M,10,1,2344,43,1,755L,Below Standard,2284,114,Below Standard,2396,58,Below Standard,2394,85,Below Standard,2153,196,1,2352,65,1,720Q,Below Standard,2118,198,At/Near Standard,2552,119,Below Standard,2445,88
102110094,F,10,1,2524,29,2,1105L,Below Standard,2393,78,At/Near Standard,2542,49,At/Near Standard,2609,70,At/Near Standard,2535,59,1,2434,50,1,875Q,Below Standard,2466,57,Below Standard,2270,198,Below Standard,2410,108
102110118,F,10,1,2499,29,2,1055L,Below Standard,2467,56,At/Near Standard,2523,47,Below Standard,2413,75,At/Near Standard,2576,64,1,2336,74,1,690Q,Below Standard,2324,98,At/Near Standard,2323,198,Below Standard,2363,128
102110123,F,10,1,2569,29,2,1195L,Above Standard,2656,50,At/Near Standard,2546,49,At/Near Standard,2475,98,At/Near Standard,2511,81,1,2428,54,1,860Q,Below Standard,2457,64,At/Near Standard,2377,195,Below Standard,2365,123
102110127,M,10,1,2441,34,1,945L,Below Standard,2436,65,Below Standard,2448,59,At/Near Standard,2533,73,Below Standard,2233,184,1,2431,52,1,870Q,Below Standard,2469,63,Below Standard,2345,173,Below Standard,2383,116
100142684,F,10,1,2501,31,2,1060L,Below Standard,2469,71,At/Near Standard,2522,44,At/Near Standard,2458,100,At/Near Standard,2504,67,1,2474,48,1,945Q,Below Standard,2461,62,At/Near Standard,2507,105,At/Near Standard,2486,119
102110166,M,10,1,2444,34,1,950L,Below Standard,2464,52,Below Standard,2459,59,At/Near Standard,2437,95,Below Standard,2364,100,1,2512,40,1,1020Q,Below Standard,2536,46,Below Standard,2221,198,At/Near Standard,2514,91
102110181,M,10,1,2752,32,4,1550L,Above Standard,2681,58,Above Standard,2800,58,Above Standard,2852,102,Above Standard,2715,63,1,2687,24,3,1340Q,Above Standard,2713,28,At/Near Standard,2628,59,At/Near Standard,2631,88
102110184,M,10,1,2569,27,2,1195L,At/Near Standard,2543,50,At/Near Standard,2637,50,At/Near Standard,2560,72,At/Near Standard,2518,61,1,2610,26,2,1200Q,At/Near Standard,2627,37,At/Near Standard,2589,54,At/Near Standard,2598,51
102110194,M,10,1,2496,30,2,1050L,Below Standard,2495,53,Below Standard,2499,49,At/Near Standard,2537,81,Below Standard,2459,73,1,2400,58,1,810Q,Below Standard,2162,186,Below Standard,2247,198,At/Near Standard,2598,88
102110196,F,10,1,2541,29,2,1140L,At/Near Standard,2535,52,At/Near Standard,2566,52,At/Near Standard,2530,80,At/Near Standard,2521,65,1,2480,46,1,960Q,Below Standard,2489,56,At/Near Standard,2447,121,At/Near Standard,2474,110
102110186,M,10,1,2524,29,2,1105L,Below Standard,2453,66,At/Near Standard,2594,51,Below Standard,2410,84,At/Near Standard,2596,64,1,2459,49,1,920Q,Below Standard,2479,57,At/Near Standard,2352,198,Below Standard,2430,98
102110202,M,10,1,2521,30,2,1100L,Below Standard,2396,88,At/Near Standard,2604,51,At/Near Standard,2454,97,At/Near Standard,2522,62,1,2473,45,1,945Q,Below Standard,2461,55,At/Near Standard,2572,128,At/Near Standard,2473,96
102110257,F,10,1,2612,30,3,1280L,At/Near Standard,2549,54,Above Standard,2787,77,At/Near Standard,2466,87,At/Near Standard,2613,72,1,2590,34,2,1160Q,At/Near Standard,2587,41,At/Near Standard,2589,94,At/Near Standard,2601,76
102110273,M,10,1,2664,30,3,1380L,Above Standard,2695,50,At/Near Standard,2572,60,At/Near Standard,2680,90,Above Standard,2709,64,1,2502,38,1,1000Q,Below Standard,2451,52,At/Near Standard,2581,98,At/Near Standard,2596,70
446255467,M,10,1,2555,27,2,1165L,At/Near Standard,2581,50,At/Near Standard,2586,43,At/Near Standard,2590,78,Below Standard,2331,132,1,2566,32,2,1120Q,Below Standard,2523,44,At/Near Standard,2625,68,At/Near Standard,2636,64
643716482,M,10,1,2441,36,1,945L,Below Standard,2498,51,Below Standard,2391,69,Below Standard,2201,215,At/Near Standard,2489,73,1,2380,62,1,775Q,Below Standard,2385,72,At/Near Standard,2333,198,Below Standard,2387,144
102110295,M,10,1,2574,30,2,1205L,At/Near Standard,2620,54,At/Near Standard,2588,48,At/Near Standard,2592,97,At/Near Standard,2405,115,1,2537,38,2,1065Q,Below Standard,2543,46,At/Near Standard,2524,109,At/Near Standard,2524,95
102110300,M,10,1,2622,29,3,1295L,Above Standard,2732,69,At/Near Standard,2553,53,At/Near Standard,2682,77,At/Near Standard,2586,60,1,2595,27,2,1170Q,At/Near Standard,2631,38,At/Near Standard,2526,78,At/Near Standard,2562,70
102110321,M,10,1,2702,30,4,1455L,Above Standard,2845,70,At/Near Standard,2558,63,Above Standard,2730,73,Above Standard,2683,65,1,2602,27,2,1185Q,Below Standard,2502,51,Above Standard,2714,54,At/Near Standard,2619,49
102110355,M,10,1,2668,27,3,1385L,At/Near Standard,2623,43,Above Standard,2669,53,At/Near Standard,2688,77,Above Standard,2713,52,1,2701,23,4,1370Q,Above Standard,2686,29,Above Standard,2778,49,At/Near Standard,2657,62
102110374,F,10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2522,34,1,1035Q,Below Standard,2542,42,At/Near Standard,2574,58,Below Standard,2248,198
479286885,F,10,1,2662,27,3,1375L,Above Standard,2678,48,At/Near Standard,2590,51,At/Near Standard,2633,85,Above Standard,2728,55,1,2505,42,1,1005Q,Below Standard,2475,56,At/Near Standard,2572,88,At/Near Standard,2535,95
457631883,M,10,1,2372,43,1,810L,Below Standard,2224,199,Below Standard,2233,108,At/Near Standard,2481,98,At/Near Standard,2502,67,1,2415,57,1,840Q,Below Standard,2368,77,At/Near Standard,2460,135,At/Near Standard,2501,99
102110420,M,10,1,2439,35,1,940L,At/Near Standard,2499,53,Below Standard,2418,62,Below Standard,2440,82,Below Standard,2275,149,1,2402,56,1,815Q,Below Standard,2414,68,Below Standard,2118,198,Below Standard,2435,92
102110431,F,10,1,2583,31,3,1220L,At/Near Standard,2447,90,At/Near Standard,2642,55,At/Near Standard,2531,78,At/Near Standard,2652,68,1,2595,28,2,1170Q,At/Near Standard,2630,38,At/Near Standard,2604,49,Below Standard,2319,180
102110435,M,10,1,2504,30,2,1065L,Below Standard,2488,59,At/Near Standard,2568,47,Below Standard,2114,215,At/Near Standard,2487,69,1,2496,36,1,990Q,Below Standard,2496,46,At/Near Standard,2527,65,Below Standard,2432,105
102110457,M,10,1,2514,29,2,1085L,Below Standard,2439,55,At/Near Standard,2570,52,At/Near Standard,2557,75,At/Near Standard,2515,65,1,2515,37,1,1025Q,At/Near Standard,2550,43,At/Near Standard,2403,159,At/Near Standard,2436,124
102110482,M,10,1,2620,28,3,1295L,At/Near Standard,2618,46,At/Near Standard,2614,55,Above Standard,2761,93,At/Near Standard,2556,70,1,2460,43,1,920Q,Below Standard,2445,56,At/Near Standard,2351,198,At/Near Standard,2521,72
102110512,F,10,1,2705,28,4,1460L,Above Standard,2723,53,Above Standard,2701,54,Above Standard,2747,104,Above Standard,2683,49,1,2598,25,2,1175Q,Below Standard,2537,42,At/Near Standard,2656,47,At/Near Standard,2635,47
102110513,F,10,1,2610,27,3,1275L,Above Standard,2677,44,At/Near Standard,2577,49,At/Near Standard,2643,70,At/Near Standard,2499,85,1,2510,38,1,1015Q,Below Standard,2549,41,At/Near Standard,2517,96,Below Standard,2252,156
102110524,F,10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2576,33,2,1135Q,At/Near Standard,2588,41,At/Near Standard,2625,73,Below Standard,2475,91
102110541,M,10,1,2482,33,1,1025L,Below Standard,2453,68,At/Near Standard,2537,53,Below Standard,2430,97,Below Standard,2455,74,1,2465,44,1,930Q,Below Standard,2442,60,At/Near Standard,2521,81,At/Near Standard,2472,95
102110526,F,10,1,2513,33,2,1085L,Below Standard,2356,97,At/Near Standard,2599,50,At/Near Standard,2517,111,At/Near Standard,2488,83,1,2510,42,1,1015Q,Below Standard,2227,145,At/Near Standard,2673,67,At/Near Standard,2642,58
102110556,F,10,1,2694,27,4,1440L,At/Near Standard,2639,46,Above Standard,2889,94,At/Near Standard,2659,82,Above Standard,2672,54,1,2639,25,3,1255Q,At/Near Standard,2572,40,At/Near Standard,2685,48,Above Standard,2692,52
102110571,F,10,1,2740,34,4,1530L,Above Standard,2811,72,Above Standard,2740,56,At/Near Standard,2547,116,Above Standard,2749,71,1,2786,24,4,1500Q,Above Standard,2813,31,Above Standard,2763,56,At/Near Standard,2697,71
102424043,F,10,1,2568,27,2,1190L,At/Near Standard,2574,44,At/Near Standard,2544,49,At/Near Standard,2579,72,At/Near Standard,2587,60,1,2563,30,2,1110Q,Below Standard,2484,52,At/Near Standard,2638,50,At/Near Standard,2599,49
102110580,F,10,1,2707,27,4,1465L,Above Standard,2701,47,Above Standard,2672,49,Above Standard,2842,109,Above Standard,2706,52,1,2720,21,4,1405Q,Above Standard,2733,28,Above Standard,2761,35,At/Near Standard,2578,63
102110588,F,10,1,2635,28,3,1325L,At/Near Standard,2589,57,Above Standard,2691,54,At/Near Standard,2621,74,At/Near Standard,2624,55,1,2608,29,2,1195Q,At/Near Standard,2603,34,At/Near Standard,2552,119,At/Near Standard,2653,65
102110589,M,10,1,2631,26,3,1315L,Above Standard,2793,70,At/Near Standard,2655,54,At/Near Standard,2515,69,At/Near Standard,2449,102,1,2606,31,2,1190Q,At/Near Standard,2640,36,At/Near Standard,2338,198,At/Near Standard,2570,79
100674478,M,10,1,2379,39,1,820L,Below Standard,2425,67,Below Standard,2226,116,Below Standard,2423,86,Below Standard,2454,75,1,2443,49,1,890Q,Below Standard,2450,58,At/Near Standard,2441,146,Below Standard,2420,113
102110615,M,10,1,2620,26,3,1295L,At/Near Standard,2606,41,At/Near Standard,2573,52,At/Near Standard,2663,80,Above Standard,2681,60,1,2622,30,3,1220Q,At/Near Standard,2610,39,Above Standard,2737,54,At/Near Standard,2544,72
102110644,M,10,1,2529,33,2,1115L,At/Near Standard,2587,47,At/Near Standard,2526,61,At/Near Standard,2529,99,Below Standard,2248,211,1,2491,42,1,980Q,Below Standard,2475,55,At/Near Standard,2522,108,At/Near Standard,2515,82
100148296,F,10,1,2568,29,2,1190L,Above Standard,2697,46,Below Standard,2419,79,At/Near Standard,2447,121,At/Near Standard,2559,58,1,2536,41,2,1060Q,Below Standard,2488,57,At/Near Standard,2458,163,At/Near Standard,2686,70
100131737,M,10,1,2554,28,2,1165L,At/Near Standard,2506,52,At/Near Standard,2633,53,Below Standard,2214,215,At/Near Standard,2586,58,1,2549,34,2,1085Q,At/Near Standard,2583,42,At/Near Standard,2427,139,At/Near Standard,2517,71
102485244,F,10,1,2420,36,1,905L,Below Standard,2469,62,Below Standard,2463,55,Below Standard,2372,119,Below Standard,2232,203,1,2371,62,1,755Q,Below Standard,2279,117,Below Standard,2118,198,At/Near Standard,2529,75
102109417,M,10,1,2741,32,4,1530L,Above Standard,2867,84,Above Standard,2686,51,At/Near Standard,2713,101,Above Standard,2730,68,1,2817,25,4,1500Q,Above Standard,2781,32,Above Standard,3020,147,Above Standard,2778,52
102110603,F,10,1,2663,30,3,1375L,Above Standard,2689,56,At/Near Standard,2628,51,Above Standard,2761,81,At/Near Standard,2610,67,1,2595,32,2,1170Q,At/Near Standard,2619,37,At/Near Standard,2387,154,At/Near Standard,2602,68
100141563,F,10,1,2601,28,3,1255L,At/Near Standard,2641,54,At/Near Standard,2581,48,At/Near Standard,2623,74,At/Near Standard,2570,62,1,2574,32,2,1135Q,Below Standard,2533,45,At/Near Standard,2638,68,At/Near Standard,2626,64
144374381,F,10,1,2785,32,4,1615L,Above Standard,2833,73,Above Standard,2739,51,Above Standard,3005,165,Above Standard,2749,64,1,2686,25,3,1340Q,Above Standard,2687,34,Above Standard,2711,37,At/Near Standard,2471,148
100142089,F,10,1,2758,32,4,1565L,Above Standard,2798,60,Above Standard,2747,59,Above Standard,2834,109,Above Standard,2674,65,1,2578,28,2,1140Q,At/Near Standard,2565,39,At/Near Standard,2627,50,At/Near Standard,2537,72
653775552,F,10,1,2612,29,3,1280L,Above Standard,2657,52,At/Near Standard,2625,49,At/Near Standard,2571,90,At/Near Standard,2534,74,1,2656,24,3,1285Q,At/Near Standard,2657,35,At/Near Standard,2634,44,At/Near Standard,2689,60
102109627,M,10,1,2703,29,4,1455L,Above Standard,2752,66,Above Standard,2710,56,Above Standard,2749,84,At/Near Standard,2651,50,1,2496,41,1,990Q,Below Standard,2510,48,At/Near Standard,2545,109,Below Standard,2416,106
689343332,F,10,1,2637,26,3,1325L,At/Near Standard,2635,45,Above Standard,2721,58,Above Standard,2692,75,At/Near Standard,2490,88,1,2610,28,2,1200Q,At/Near Standard,2605,42,At/Near Standard,2594,56,At/Near Standard,2629,49
883462478,M,10,1,2469,31,1,1000L,Below Standard,2479,59,At/Near Standard,2512,52,Below Standard,2371,79,Below Standard,2469,70,1,2466,44,1,935Q,Below Standard,2476,52,At/Near Standard,2528,103,Below Standard,2373,119
102109909,F,10,1,2689,28,4,1430L,Above Standard,2695,46,Above Standard,2658,48,Above Standard,2740,92,Above Standard,2700,59,1,2552,36,2,1090Q,At/Near Standard,2549,48,At/Near Standard,2630,65,Below Standard,2448,106
103234544,M,10,1,2701,30,4,1450L,Above Standard,2725,64,Above Standard,2720,48,Above Standard,2706,85,At/Near Standard,2642,66,1,2703,22,4,1370Q,Above Standard,2704,29,Above Standard,2691,43,Above Standard,2725,64
102110052,M,10,1,2481,31,1,1020L,At/Near Standard,2519,47,Below Standard,2429,70,At/Near Standard,2485,86,Below Standard,2465,67,1,2479,43,1,955Q,Below Standard,2504,46,At/Near Standard,2319,198,Below Standard,2373,131
100148125,M,10,1,2503,31,2,1065L,At/Near Standard,2515,49,At/Near Standard,2504,57,At/Near Standard,2578,69,Below Standard,2182,215,1,2448,45,1,900Q,Below Standard,2306,96,Below Standard,2267,198,At/Near Standard,2610,67
102110158,M,10,1,2582,28,3,1215L,At/Near Standard,2532,59,At/Near Standard,2575,52,At/Near Standard,2632,73,At/Near Standard,2604,51,1,2650,27,3,1275Q,Above Standard,2670,32,At/Near Standard,2625,62,At/Near Standard,2569,86
102110159,M,10,1,2497,31,2,1055L,At/Near Standard,2525,56,Below Standard,2462,68,At/Near Standard,2558,70,Below Standard,2440,71,1,2522,36,1,1035Q,Below Standard,2456,53,At/Near Standard,2414,167,At/Near Standard,2705,66
102624100,M,10,1,2493,32,2,1045L,At/Near Standard,2563,55,Below Standard,2472,57,At/Near Standard,2534,75,Below Standard,2345,114,1,2485,43,1,970Q,Below Standard,2460,58,At/Near Standard,2377,164,At/Near Standard,2606,80
100148750,M,10,1,2629,28,3,1310L,Above Standard,2716,53,At/Near Standard,2621,51,At/Near Standard,2636,91,At/Near Standard,2548,61,1,2531,37,2,1055Q,Below Standard,2443,59,Above Standard,2704,51,At/Near Standard,2491,93
