EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
243616388,M,4,1,2516,24,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2560,16,4,Above Standard,Above Standard,Above Standard
289444575,M,4,1,2454,25,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2374,20,1,Below Standard,Below Standard,Below Standard
277182786,F,4,1,2526,24,3,Above Standard,Above Standard,At/Near Standard,At/Near Standard,1,2469,17,2,At/Near Standard,At/Near Standard,At/Near Standard
256418389,M,4,1,2471,27,2,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2534,16,3,Above Standard,Above Standard,Above Standard
247657828,M,4,1,2454,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2439,16,2,Below Standard,At/Near Standard,Below Standard
754466263,M,4,1,2474,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2518,17,3,At/Near Standard,Above Standard,At/Near Standard
294475115,M,4,1,2452,24,2,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2470,16,2,At/Near Standard,Below Standard,At/Near Standard
665756616,F,4,1,2440,25,2,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2453,17,2,At/Near Standard,At/Near Standard,At/Near Standard
262292381,M,4,1,2550,24,4,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2511,16,3,Above Standard,At/Near Standard,At/Near Standard
484545574,F,4,1,2512,25,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2506,15,3,At/Near Standard,At/Near Standard,At/Near Standard
237838476,M,4,1,2433,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2451,17,2,At/Near Standard,Below Standard,At/Near Standard
227377915,M,4,1,2475,27,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2487,16,3,At/Near Standard,At/Near Standard,At/Near Standard
275994282,M,4,1,2477,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2450,17,2,At/Near Standard,At/Near Standard,At/Near Standard
233968815,M,4,1,2569,26,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2547,17,3,Above Standard,At/Near Standard,At/Near Standard
746373522,F,4,1,2368,27,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2328,25,1,Below Standard,Below Standard,Below Standard
694228723,M,4,1,2598,24,4,Above Standard,Above Standard,At/Near Standard,Above Standard,1,2543,15,3,Above Standard,Above Standard,Above Standard
452363769,F,4,1,2615,27,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2580,18,4,Above Standard,Above Standard,At/Near Standard
273729454,F,4,1,2366,30,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2306,26,1,Below Standard,Below Standard,Below Standard
223721626,M,4,1,2442,23,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2446,18,2,At/Near Standard,At/Near Standard,Below Standard
272328836,M,4,1,2477,24,3,At/Near Standard,At/Near Standard,At/Near Standard,Above Standard,1,2500,17,3,At/Near Standard,Above Standard,At/Near Standard
231775267,F,4,1,2415,24,1,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2474,17,2,At/Near Standard,At/Near Standard,At/Near Standard
498347575,F,4,1,2531,24,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2529,16,3,Above Standard,Above Standard,At/Near Standard
284847622,M,4,1,2379,27,1,Below Standard,Below Standard,Below Standard,At/Near Standard,1,2432,17,2,At/Near Standard,Below Standard,Below Standard
251664716,M,4,1,2480,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2502,17,3,At/Near Standard,At/Near Standard,Above Standard
437394826,M,4,1,2475,26,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2513,17,3,At/Near Standard,At/Near Standard,At/Near Standard
487593766,M,4,1,2399,26,1,At/Near Standard,Below Standard,At/Near Standard,At/Near Standard,1,2481,16,2,At/Near Standard,At/Near Standard,At/Near Standard
287236878,M,4,1,2516,23,3,At/Near Standard,At/Near Standard,Above Standard,At/Near Standard,1,2508,16,3,At/Near Standard,At/Near Standard,At/Near Standard
413478124,F,4,1,2540,25,4,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2512,17,3,At/Near Standard,At/Near Standard,At/Near Standard
446684757,F,4,1,2318,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2407,19,1,Below Standard,Below Standard,At/Near Standard
422265525,F,4,1,2528,24,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2537,17,3,Above Standard,Above Standard,At/Near Standard
255854965,M,4,1,2465,24,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2471,17,2,At/Near Standard,At/Near Standard,At/Near Standard
554285868,F,4,1,2536,25,4,At/Near Standard,Above Standard,At/Near Standard,At/Near Standard,1,2455,17,2,Below Standard,At/Near Standard,At/Near Standard
436146474,F,4,1,2439,25,2,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2504,16,3,At/Near Standard,Above Standard,At/Near Standard
525534672,M,4,1,2358,29,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2384,21,1,Below Standard,Below Standard,Below Standard
638692378,F,4,1,2539,24,4,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2489,17,3,At/Near Standard,At/Near Standard,At/Near Standard
741164672,F,4,1,2316,30,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2330,25,1,Below Standard,Below Standard,Below Standard
459591655,F,4,1,2589,26,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2532,16,3,Above Standard,At/Near Standard,Above Standard
138253628,M,4,1,2388,25,1,At/Near Standard,Below Standard,Below Standard,At/Near Standard,1,2431,17,2,Below Standard,Below Standard,Below Standard
176566152,M,4,1,2499,24,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2556,17,4,Above Standard,At/Near Standard,Above Standard
139252658,M,4,1,2472,24,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2590,16,4,Above Standard,Above Standard,Above Standard
237946913,M,4,1,2406,26,1,Below Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2365,21,1,Below Standard,Below Standard,Below Standard
487253727,F,4,1,2512,23,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2508,17,3,At/Near Standard,At/Near Standard,Above Standard
487525434,F,4,1,2544,25,4,At/Near Standard,Above Standard,Above Standard,At/Near Standard,1,2496,15,3,At/Near Standard,At/Near Standard,At/Near Standard
444682248,F,4,1,2626,27,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2551,16,4,Above Standard,Above Standard,Above Standard
455889894,F,4,1,2462,26,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2465,16,2,At/Near Standard,At/Near Standard,At/Near Standard
262342755,F,4,1,2342,28,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2352,22,1,Below Standard,Below Standard,Below Standard
228326561,M,4,1,2378,26,1,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2427,18,2,Below Standard,Below Standard,Below Standard
653665433,M,4,1,2484,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2538,16,3,Above Standard,Above Standard,At/Near Standard
478444275,F,4,1,2606,27,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2547,19,3,At/Near Standard,Above Standard,Above Standard
757156224,F,4,1,2514,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2449,17,2,Below Standard,At/Near Standard,Below Standard
825497857,M,4,1,2499,23,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2535,17,3,Above Standard,At/Near Standard,Above Standard
167715671,M,4,1,2414,27,1,At/Near Standard,Below Standard,At/Near Standard,Below Standard,1,2454,17,2,Below Standard,At/Near Standard,At/Near Standard
444375458,F,4,1,2552,24,4,At/Near Standard,Above Standard,Above Standard,At/Near Standard,1,2522,16,3,At/Near Standard,Above Standard,At/Near Standard
496243164,F,4,1,2525,22,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2478,17,2,At/Near Standard,At/Near Standard,At/Near Standard
486739322,F,4,1,2484,25,3,Above Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2446,17,2,Below Standard,At/Near Standard,At/Near Standard
289836656,M,4,1,2360,26,1,Below Standard,Below Standard,At/Near Standard,At/Near Standard,1,2377,21,1,Below Standard,Below Standard,Below Standard
245836787,F,4,1,2456,25,2,At/Near Standard,At/Near Standard,At/Near Standard,Below Standard,1,2449,17,2,Below Standard,At/Near Standard,At/Near Standard
277298512,F,4,1,2353,26,1,Below Standard,Below Standard,At/Near Standard,Below Standard,1,2359,21,1,Below Standard,Below Standard,Below Standard
454556517,F,4,1,2494,25,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2499,17,3,At/Near Standard,At/Near Standard,At/Near Standard
345892823,F,4,1,2370,26,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2385,21,1,Below Standard,Below Standard,At/Near Standard
134543866,M,4,1,2576,26,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2542,17,3,Above Standard,At/Near Standard,Above Standard
491533323,F,4,1,2532,25,3,Above Standard,At/Near Standard,Above Standard,At/Near Standard,1,2490,17,3,Above Standard,At/Near Standard,At/Near Standard
467358418,F,4,1,2408,25,1,At/Near Standard,At/Near Standard,Below Standard,Below Standard,1,2442,18,2,Below Standard,At/Near Standard,At/Near Standard
443267753,F,4,1,2474,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2490,17,3,At/Near Standard,At/Near Standard,At/Near Standard
471827767,F,4,1,2610,27,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2601,19,4,Above Standard,Above Standard,Above Standard
157186248,M,4,1,2579,25,4,Above Standard,Above Standard,Above Standard,At/Near Standard,1,2573,17,4,Above Standard,Above Standard,Above Standard
215152853,M,4,1,2644,29,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2624,19,4,Above Standard,Above Standard,Above Standard
558343266,F,4,1,2482,23,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2458,17,2,Below Standard,At/Near Standard,At/Near Standard
462514935,F,4,1,2181,56,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2363,23,1,Below Standard,Below Standard,Below Standard
263778248,M,4,1,2480,24,3,At/Near Standard,At/Near Standard,At/Near Standard,At/Near Standard,1,2467,17,2,At/Near Standard,At/Near Standard,At/Near Standard
487895748,F,4,1,2617,26,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2614,17,4,Above Standard,Above Standard,Above Standard
